No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
4532,1491.6172939999985,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,256,-42dBm,,,"QoS Data, SN=2031, FN=0, Flags=.p..R.F."
4537,1493.2450224999986,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,142,-28dBm,,,"QoS Data, SN=2032, FN=0, Flags=.p....F."
4538,1494.0660835999986,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,142,-37dBm,,,"QoS Data, SN=2033, FN=0, Flags=.p....F."
4543,1495.2834160999987,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-34dBm,,,"QoS Data, SN=2034, FN=0, Flags=.p..R.F."
4544,1495.4287959999988,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-25dBm,,,"QoS Data, SN=2035, FN=0, Flags=.p....F."
4545,1496.8510579999988,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,153,-42dBm,,,"QoS Data, SN=2036, FN=0, Flags=.p....F."
4549,1498.4166264999988,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,185,-38dBm,,,"QoS Data, SN=2037, FN=0, Flags=.p....F."
4554,1500.0071650999987,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-24dBm,,,"QoS Data, SN=2038, FN=0, Flags=.p..R.F."
4558,1500.5964100999986,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-29dBm,,,"QoS Data, SN=2039, FN=0, Flags=.p....F."
4559,1500.9822967999985,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-26dBm,,,"QoS Data, SN=2040, FN=0, Flags=.p....F."
4561,1502.9634104999984,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,238,-44dBm,,,"QoS Data, SN=2041, FN=0, Flags=.p....F."
4564,1504.5469758999984,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,229,-35dBm,,,"QoS Data, SN=2042, FN=0, Flags=.p....F."
4566,1506.5024335999983,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,157,-18dBm,,,"QoS Data, SN=2043, FN=0, Flags=.p....F."
4568,1508.4047135999983,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,241,-38dBm,,,"QoS Data, SN=2044, FN=0, Flags=.p....F."
4573,1508.9093137999982,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,241,-26dBm,,,"QoS Data, SN=2045, FN=0, Flags=.p..R.F."
4576,1509.3451488999983,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,241,-24dBm,,,"QoS Data, SN=2046, FN=0, Flags=.p..R.F."
4581,1511.1725526999983,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,215,-34dBm,,,"QoS Data, SN=2047, FN=0, Flags=.p....F."
4585,1512.1126086999982,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,215,-37dBm,,,"QoS Data, SN=2048, FN=0, Flags=.p....F."
4587,1512.843184399998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,215,-33dBm,,,"QoS Data, SN=2049, FN=0, Flags=.p....F."
4589,1513.359010899998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,215,-38dBm,,,"QoS Data, SN=2050, FN=0, Flags=.p....F."
4592,1515.2135072999981,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,255,-35dBm,,,"QoS Data, SN=2051, FN=0, Flags=.p..R.F."
4595,1516.775121799998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-26dBm,,,"QoS Data, SN=2052, FN=0, Flags=.p....F."
