No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
2129,718.9313834000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,184,-42dBm,,,"QoS Data, SN=1302, FN=0, Flags=.p....F."
2134,719.0273797000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,184,-29dBm,,,"QoS Data, SN=1303, FN=0, Flags=.p....F."
2138,720.5309882000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,140,-36dBm,,,"QoS Data, SN=1304, FN=0, Flags=.p..R.F."
2143,721.2440694000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,140,-63dBm,,,"QoS Data, SN=1305, FN=0, Flags=.p..R.F."
2148,723.0744628000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,224,-44dBm,,,"QoS Data, SN=1306, FN=0, Flags=.p..R.F."
2152,724.8479381000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,190,-31dBm,,,"QoS Data, SN=1307, FN=0, Flags=.p....F."
2154,725.4929650000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,190,-30dBm,,,"QoS Data, SN=1308, FN=0, Flags=.p..R.F."
2159,726.7905540000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,107,-23dBm,,,"QoS Data, SN=1309, FN=0, Flags=.p....F."
2162,728.1901965000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,126,-66dBm,,,"QoS Data, SN=1310, FN=0, Flags=.p....F."
2166,729.4513936000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,225,-26dBm,,,"QoS Data, SN=1311, FN=0, Flags=.p....F."
2167,730.9717271000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,159,-30dBm,,,"QoS Data, SN=1312, FN=0, Flags=.p..R.F."
2172,732.8968072000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-43dBm,,,"QoS Data, SN=1313, FN=0, Flags=.p..R.F."
2175,734.0419413000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,145,-31dBm,,,"QoS Data, SN=1314, FN=0, Flags=.p..R.F."
2180,734.2164101000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,145,-44dBm,,,"QoS Data, SN=1315, FN=0, Flags=.p..R.F."
2182,734.8095053000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,145,-37dBm,,,"QoS Data, SN=1316, FN=0, Flags=.p....F."
2184,736.1145985000006,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,114,-27dBm,,,"QoS Data, SN=1317, FN=0, Flags=.p....F."
2186,736.8301702000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,114,-22dBm,,,"QoS Data, SN=1318, FN=0, Flags=.p....F."
2187,738.5007030000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,243,-64dBm,,,"QoS Data, SN=1319, FN=0, Flags=.p..R.F."
2191,740.4371692000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,202,-27dBm,,,"QoS Data, SN=1320, FN=0, Flags=.p..R.F."
2195,742.0160388000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,233,-31dBm,,,"QoS Data, SN=1321, FN=0, Flags=.p....F."
2197,742.4248806000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,233,-35dBm,,,"QoS Data, SN=1322, FN=0, Flags=.p..R.F."
2198,744.3495281000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,190,-23dBm,,,"QoS Data, SN=1323, FN=0, Flags=.p....F."
2200,745.8405578000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-20dBm,,,"QoS Data, SN=1324, FN=0, Flags=.p..R.F."
2205,746.2078986000007,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-28dBm,,,"QoS Data, SN=1325, FN=0, Flags=.p..R.F."
2206,746.7578447000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-31dBm,,,"QoS Data, SN=1326, FN=0, Flags=.p..R.F."
2207,748.6815448000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,186,-38dBm,,,"QoS Data, SN=1327, FN=0, Flags=.p....F."
2211,749.8165418000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,136,-29dBm,,,"QoS Data, SN=1328, FN=0, Flags=.p....F."
2212,751.6793933000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,193,-20dBm,,,"QoS Data, SN=1329, FN=0, Flags=.p....F."
2216,752.4224400000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,193,-27dBm,,,"QoS Data, SN=1330, FN=0, Flags=.p..R.F."
2219,754.1112509000009,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,149,-23dBm,,,"QoS Data, SN=1331, FN=0, Flags=.p..R.F."
2221,755.6510984000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,248,-19dBm,,,"QoS Data, SN=1332, FN=0, Flags=.p....F."
2224,757.4134621000009,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,205,-57dBm,,,"QoS Data, SN=1333, FN=0, Flags=.p....F."
2229,757.5005787000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,205,-42dBm,,,"QoS Data, SN=1334, FN=0, Flags=.p..R.F."
2233,757.9579545000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,205,-20dBm,,,"QoS Data, SN=1335, FN=0, Flags=.p....F."
2236,759.2107908000008,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-41dBm,,,"QoS Data, SN=1336, FN=0, Flags=.p....F."
2237,759.6467045000009,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-54dBm,,,"QoS Data, SN=1337, FN=0, Flags=.p....F."
2238,760.9761824000009,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,199,-27dBm,,,"QoS Data, SN=1338, FN=0, Flags=.p....F."
2240,762.9151376000009,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,242,-20dBm,,,"QoS Data, SN=1339, FN=0, Flags=.p....F."
